site_name,wan_total,wan0_label,wan0_ip,wan0_type,wan0_isp,wan0_interface,backup/standby,wan1_label,wan1_ip,wan1_type,wan1_isp,wan1_interface,backup/standby,wan2_label,wan2_ip,wan2_type,wan2_isp,wan2_interface,backup/standby,sim_total
086_SilverBurn,2,Kerv-TRB,95.129.20.28,WIRELESS,,GE4,Yes,VCG-SoGEA,185.14.214.144,WIRED,Vcg Technology Services,GE6,No
087_Windsor,3,Kerv-USB-4G,95.129.20.41,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,185.14.214.146,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.44,WIRELESS,Wireless Logic,USB2,No
092_Trafford_Offspring,2,Kerv-USB-4G,95.129.20.42,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,109.68.14.96,WIRED,Vcg Technology Services,GE6,No
095_Lakeside,3,Kerv-USB-4G,95.129.20.45,WIRELESS,Wireless Logic,USB1,Yes,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB2,No,VCG-ADSL,185.14.214.147,WIRED,Vcg Technology Services Limited,GE6,No
099_White_City,3,Kerv-USB-4G,95.129.20.23,WIRELESS,Wireless Logic,USB1,Yes,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB2,No,VCG-ADSL,185.14.214.149,WIRED,Vcg Technology Services Limited,GE6,No
140_Richmond,3,Kerv-USB-4G,95.129.20.20,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,185.14.214.155,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.22,WIRELESS,Wireless Logic Limited,USB2,No
142_Metro_Centre,3,Kerv-USB-4G,95.129.20.18,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,185.14.214.156,WIRED,Vcg Technology Services,GE6,No,Kerv-TRB,95.129.20.20,WIRELESS,Wireless Logic,GE3,No
145_Chelmsford,2,Kerv-USB-4G,95.129.20.21,WIRELESS,Wireless Logic,USB1,Yes,VCG-SoGEA,109.68.14.88,WIRED,Vcg Technology Services,GE6,No
148_Kingston,3,Kerv-USB-4G,95.129.20.18,WIRELESS,Wireless Logic,USB1,No,Kerv-USB-4G,95.129.20.21,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,185.14.214.172,WIRED,Vcg Technology Services,GE6,No
151_Stratford,3,Kerv-USB-4G,95.129.20.41,WIRELESS,Wireless Logic,USB1,No,VCG-ADSL,109.68.14.97,WIRED,Vcg Technology Services,GE6,No,Kerv-TRB,95.129.20.42,WIRELESS,Wireless Logic,GE4,Yes
158_Wandsworth,3,Kerv-USB-4G,95.129.20.28,WIRELESS,Wireless Logic,USB1,Yes,Kerv-USB-4G,95.129.20.22,WIRELESS,Wireless Logic,USB2,No,VCG-ADSL,109.68.14.76,WIRELESS,Vcg Technology Services,GE6,No
161_Preston,2,Kerv-USB-4G,95.129.20.27,WIRELESS,Wireless Logic,USB1,Yes,VCG-FTTP,109.68.14.81,WIRED,Vcg Technology Services,GE6,No
162_Leeds,2,Kerv-USB-4G,95.129.20.20,WIRELESS,Wireless Logic,USB2,Yes,VCG-SoGEA,185.14.214.184,WIRED,Vcg Technology Services,GE6,No
163_Basingstoke,2,VCG-ADSL,185.14.214.179,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.26,WIRELESS,Wireless Logic,USB2,Yes
164_Lincoln,2,Kerv-USB-4G,95.129.20.20,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,109.68.14.82,WIRED,None,GE6,No
165_Peterborough,2,Kerv-TRB,95.129.20.40,WIRELESS,Wireless Logic,GE5,Yes,VCG-SoGEA,185.14.214.180,WIRED,Vcg Technology Services Limited,GE6,No
166_Bromley,3,Kerv-USB-4G,95.129.20.18,WIRELESS,Wireless Logic,USB2,No,Kerv-USB-4G,95.129.20.41,WIRELESS,Wireless Logic,USB1,Yes,VCG-ADSL,185.14.214.181,WIRED,Vcg Technology Services Limited,GE6,No
167_Glasgow_Fort,2,Kerv-USB-4G,95.129.20.19,WIRELESS,Wireless Logic,USB2,Yes,VCG-SoGEA,185.14.214.182,WIRED,Vcg Technology Services,GE6,No
169_Enfield,2,Kerv-USB-4G,95.129.20.19,WIRELESS,Wireless Logic,USB2,No,VCG-SOGEA,109.68.14.98,WIRED,Vcg Technology Services,GE6,No
171_Buchanan_Street,3,VCG-ADSL,185.14.214.203,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.47,WIRELESS,Wireless Logic,USB2,No,Kerv-USB-4G,95.129.20.44,WIRELESS,Wireless Logic,USB1,No
175_Bristol,2,Kerv-USB-4G,95.129.20.25,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,109.68.14.104,WIRED,Vcg Technology Services,GE6,No
176_Liverpool,2,VCG-ADSL,109.68.14.77,WIRED,Vcg Technology Services,GE6,No,Kerv-TRB,95.129.20.30,WIRELESS,Wireless Logic,GE5,Yes
177_Leeds_Trinity,3,VCG-ADSL,185.14.214.205,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.18,WIRELESS,Wireless Logic,USB1,Yes,Kerv-USB-4G,95.129.20.20,WIRELESS,Wireless Logic,USB2,No
178_Uxbridge,3,VCG-ADSL,185.14.214.206,WIRED,Vcg Technology Services Limited,GE6,No,Kerv-USB-4G,95.129.20.43,WIRELESS,Wireless Logic,USB2,No,Kerv-USB-4G,95.129.20.17,WIRELESS,Wireless Logic,USB1,Yes
181_Oxford_St_East,2,VCG-FTTP,109.68.14.83,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.45,WIRELESS,Wireless Logic,USB2,Yes
182_Cambridge,2,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB2,Yes,VCG-SOGEA,185.14.214.207,WIRED,Vcg Technology Services,GE6,No
183_Cork,3,Kerv-USB-4G,95.129.20.47,WIRELESS,Wireless Logic,USB1,No,Kerv-USB-4G,95.129.20.25,WIRELESS,Wireless Logic,USB2,Yes,VCG-ADSL,185.14.214.209,WIRED,Vcg Technology Services,GE6,No
186_Commercial_St_Offspring,3,Kerv-TRB_EE,95.129.20.28,WIRELESS,Wireless Logic,GE4,Yes,VCG-FTTP,109.68.14.78,WIRED,Vcg Technology Services,GE6,No,Kerv-TRB_VF,95.129.20.30,WIRELESS,Wireless Logic,GE3,No
187_Selfridges_Trafford_Ladies_Offspring,2,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB2,No,Kerv-USB-4G,95.129.20.43,WIRELESS,Wireless Logic,USB1,Yes
188_Aberdeen,3,VCG-ADSL,185.14.214.210,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.31,WIRELESS,Wireless Logic,USB1,No,Kerv-USB-4G,95.129.20.40,WIRELESS,Wireless Logic,USB2,Yes
189_Derry,2,Kerv-USB-4G,95.129.20.45,WIRELESS,Wireless Logic,USB1,Yes,VCG-SoGEA,185.14.214.211,WIRED,Vcg Technology Services Limited,GE6,No
192_Aylesbury,2,Kerv-TRB,95.129.20.28,WIRELESS,Wireless Logic,GE5,Yes,VCG-SoGEA,185.14.214.214,WIRED,Vcg Technology Services,GE6,No
198_Bath_Southgate,2,Kerv-USB-4G,95.129.20.21,WIRELESS,Wireless Logic,USB1,Yes,VCG-SoGEA,185.14.214.216,WIRED,Vcg Technology Services,GE6,No
202_Cheltenham,2,Kerv-USB-4G,95.129.20.41,WIRELESS,Wireless Logic,USB1,Yes,VCG-SoGEA,185.14.214.217,WIRED,Vcg Technology Services Limited,GE6,No
204_Brighton,3,VCG-ADSL,185.14.214.233,WIRED,Vcg Technology Services,GE6,No,Kerv-USB-4G,95.129.20.43,WIRELESS,Wireless Logic,USB1,No,Kerv-USB-4G,95.129.20.22,WIRELESS,Wireless Logic,USB2,No
205_Birmingham_Bullring,2,Kerv-TRB,95.129.20.43,WIRELESS,Wireless Logic,GE5,Yes,VCG-ADSL,109.68.14.111,WIRED,Vcg Technology Services,GE6,No
206_Offspring_Ladies_Birmingham,2,Kerv-USB-4G,95.129.20.19,WIRED,Wireless Logic,USB1,Yes,Selfridges PAN,83.97.19.18,WIRED,VeloxServ Communications,GE6,No
