site_name,month1,month2,month3,month4
243_Bluewater,99848612445,105984186401,79077461089,63868204487
241_Milton Keynes,139616569197,130339871657,72810180713,19651952454
051_Grafton_Street,66984433680,66009284214,72721834704,45789224107
238_Angel,81695339915,94766009310,69413988154,37496837365
234_Newcastle,107974112091,107430759016,63378011497,24767028563
045_Belfast,60390453215,49027151496,60988817185,30666097977
239_Nottingham Victoria,64803419868,62519378466,57902562515,38739662399
236_Southampton,70974574166,87239703531,56909781898,35129707372
095_Lakeside,43969951747,56595024029,56567786823,41878566583
031_Liffey-Valley,54845703716,50985675259,53065182870,37601978351
